	Scientific Name	Common Name	Region	Family	First Listed	Taxonomic Group	Status	Type
0	Abies fraseri	Fraser fir	NC, VA;	Pinaceae	NA	Conifers and Cycads	Not Listed	P
1	Ablautus schlingeri	Oso Flaco robber fly	CA;	Asilidae	NA	Insects	Not Listed	I
2	Abronia alpina	Ramshaw Meadows sand-verbena	CA;	Nyctaginaceae	NA	Flowering Plants	Not Listed	P
3	Abronia ammophila	Yellowstone Sand Verbena		Nyctaginaceae	NA	Flowering Plants	Not Listed	P
4	Abronia ammophila var.	No common name		Nyctaginaceae	NA	Flowering Plants	Not Listed	P
5	Abronia ammphila	[Unnamed] sand-verbena	WY;	Nyctaginaceae	NA	Flowering Plants	Not Listed	P
6	Abronia bigelovii	[Unnamed] sand-verbena	NM;	Nyctaginaceae	NA	Flowering Plants	Not Listed	P
7	Abronia macrocarpa	Large-fruited sand-verbena	TX; U.S.A. (TX)	Nyctaginaceae	Sep 28, 1988	Flowering Plants	  Endangered	P
8	Abronia turbinata	[Unnamed] sand-verbena	NV;	Nyctaginaceae	NA	Flowering Plants	Not Listed	P
9	Abronia umbellata acutalata	Rose-purple sand-verbena	WA; Possibly extinct,last observed in 1940	Nyctaginaceae	NA	Flowering Plants	Not Listed	P
10	Abronia umbellata breviflora	Pink sand-verbena	CA, OR;	Nyctaginaceae	NA	Flowering Plants	Not Listed	P
11	Abutilon eremitopetalum	No common name	HI; U.S.A. (HI)	Malvaceae	Sep 20, 1991	Flowering Plants	  Endangered	P
12	Abutilon hulseanum	Terciopelo	PR, VI;	Malvaceae	NA	Flowering Plants	Not Listed	P
13	Abutilon menziesii	Ko`oloa`ula	HI; U.S.A. (HI)	Malvaceae	Sep 26, 1986	Flowering Plants	  Endangered	P
14	Abutilon parishii	No common name	AZ;	Malvaceae	NA	Flowering Plants	Not Listed	P
15	Abutilon sandwicense	No common name	HI; U.S.A. (HI)	Malvaceae	Oct 29, 1991	Flowering Plants	  Endangered	P
16	Abutilon virginianum	No common name	PR, VI; Possibly extinct,not observed since 1913.	Malvaceae	NA	Flowering Plants	Not Listed	P
17	Acacia koaia	Koai`e	HI;	Fabaceae	NA	Flowering Plants	Not Listed	P
18	Acaena exigua	Liliwai	HI; U.S.A. (HI)	Rosaceae	May 15, 1992	Flowering Plants	  Endangered	P
19	Acalyptera susanae	[Unnamed] lace bug	AR;	Tingidae	NA	Insects	Not Listed	I
20	Acanthometropus pecatonica	Pecatonica River mayfly	IL, WI;	Siphlonuridae	NA	Insects	Not Listed	I
21	Acanthomintha ilicifolia	San Diego thornmint	CA; U.S.A. (CA), Mexico	Lamiaceae	Oct 13, 1998	Flowering Plants	  Threatened	P
22	Acanthomintha obovata obovata	San Benito thornmint	CA;	Lamiaceae	NA	Flowering Plants	Not Listed	P
23	Acanthomintha obovata ssp. duttonii	San Mateo thornmint	CA; U.S.A. (CA)	Lamiaceae	Sep 18, 1985	Flowering Plants	  Endangered	P
24	acarospora clauzadeana	No common name		acarosporaceae	NA	Lichens	Not Listed	P
25	Accipiter cooperii	Cooper's hawk	CA;	Accipitridae	NA	Birds	Not Listed	V
26	Accipiter gentilis	Northern goshawk	AK, AL, AR, AZ, CA, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NM, NV, NY, OH, OK, OR, PA, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY;	Accipitridae	NA	Birds	Not Listed	V
27	Accipiter gentilis laingi	Queen Charlotte goshawk	AK;	Accipitridae	NA	Birds	Not Listed	V
28	Accipiter striatus	Sharp shinned hawk	CA;	Accipitridae	NA	Birds	Not Listed	V
29	Accipiter striatus venator	Puerto Rican sharp-shinned hawk	PR; Endemic to Puerto Rico; U.S.A. (PR)	Accipitridae	Sep 09, 1994	Birds	  Endangered	V
30	Acer grandidentatum sinuosum	[Unnamed] maple	TX;	Aceraceae	NA	Flowering Plants	Not Listed	P
31	Achatinella spp.	Oahu tree snails	HI; U.S.A. (HI)	Achatinellidae	Feb 12, 1981	Snails	  Endangered	I
32	Achnatherum contractum	No common name	CO, WY;	Poaceae	NA	Flowering Plants	Not Listed	P
33	Achnatherum curvifolium	No common name	NM, TX;	Poaceae	NA	Flowering Plants	Not Listed	P
34	Achnatherum swallenii	No common name	ID, WY;	Poaceae	NA	Flowering Plants	Not Listed	P
35	Achyranthes atollensis	No common name	HI; Believed to be extinct	Amaranthaceae	NA	Flowering Plants	Not Listed	P
36	Achyranthes mutica	No common name	HI; U.S.A. (HI)	Amaranthaceae	Oct 10, 1996	Flowering Plants	  Endangered	P
37	Achyranthes splendens splendens	No common name	HI;	Amaranthaceae	NA	Flowering Plants	Not Listed	P
38	Achyranthes splendens var. rotundata	Round-leaved chaff-flower	HI; U.S.A. (HI)	Amaranthaceae	Mar 26, 1986	Flowering Plants	  Endangered	P
39	Acipenser brevirostrum	Shortnose sturgeon	U.S.A. and Canada (Atlantic Coast)	Acipenseridae	Mar 11, 1967	Fishes	  Endangered	V
40	Acipenser fulvescens	Lake sturgeon	AL, AR, GA, IA, IL, IN, KS, KY, LA, MI, MN, MO, MS, NE, NY, OH, PA, SD, TN, VT, WI, WV;	Acipenseridae	Aug 15, 2019	Fishes	  Under Review in the Candidate or Petition Process	V
41	Acipenser medirostris	green sturgeon	U.S.A. (CA)	Acipenseridae	Jun 06, 2006	Fishes	  Threatened	V
42	Acipenser oxyrinchus (=oxyrhynchus) desotoi	Atlantic sturgeon (Gulf subspecies)	AL, FL, LA, MS; U.S.A. (MS, LA, GA, FL, AL)	Acipenseridae	Sep 30, 1991	Fishes	  Threatened	V
43	Acipenser oxyrinchus oxyrinchus	Atlantic sturgeon		Acipenseridae	Feb 06, 2012	Fishes	  Endangered	V
44	Acipenser oxyrinchus oxyrinchus	Atlantic sturgeon		Acipenseridae	Feb 06, 2012	Fishes	  Threatened	V
45	Acipenser transmontanus	White sturgeon	ID, MT; Canada (B.C.); U.S.A. (WA, OR, MT, ID, CA, AK) Canada (B.C.)	Acipenseridae	Sep 06, 1994	Fishes	  Endangered	V
46	Acleisanthes crassifolia	Texas trumpets	TX;	Nyctaginaceae	NA	Flowering Plants	Not Listed	P
